05.59.54.260148,1,login,
05.59.58.497150,1,words ,1,
05.59.58.698544,1,words ,1,
05.59.58.904438,1,words ,1,
05.59.59.076115,1,words ,1,
05.59.59.272529,1,words ,1,
05.59.59.400898,1,words ,1,
05.59.59.572330,1,words ,1,
05.59.59.749809,1,words ,1,
06.00.00.058692,1,words ,1,
06.00.00.233407,1,words ,1,
06.00.00.402432,1,words ,1,
06.00.00.608057,1,words ,2,
06.00.00.809298,1,words ,2,
06.00.00.965344,1,words ,2,
06.00.01.358009,1,words ,2,
06.00.01.529626,1,words ,2,
06.00.01.779452,1,words ,2,
06.00.01.966513,1,words ,2,
06.00.02.138104,1,words ,2,
06.00.02.308398,1,words ,2,
06.00.02.495983,1,words ,2,
06.00.02.652697,1,words ,2,
06.00.02.841103,1,words ,2,
06.00.03.027869,1,words ,2,
06.00.03.232196,1,words ,2,
06.00.03.404424,1,words ,2,
06.00.03.592361,1,words ,2,
06.00.03.746048,1,words ,2,
06.00.03.918445,1,words ,1,
06.00.04.107494,1,words ,1,
06.00.04.311734,1,words ,1,
06.00.04.502688,1,words ,1,
06.00.04.698248,1,words ,1,
06.00.04.902791,1,words ,1,
06.00.05.105328,1,words ,1,
06.00.05.293973,1,words ,1,
06.00.05.495895,1,words ,1,
06.00.05.684080,1,words ,1,
06.00.05.886586,1,words ,1,
06.00.06.077171,1,words ,1,
06.00.06.233079,1,words ,1,
06.00.06.417489,1,words ,1,
06.00.06.637563,1,words ,2,
06.00.06.807773,1,words ,2,
06.00.06.980402,1,words ,2,
06.00.07.167994,1,words ,2,
06.00.07.321540,1,words ,2,
06.00.07.481133,1,words ,2,
06.00.07.778440,1,words ,2,
06.00.07.978972,1,words ,2,
06.00.08.167290,1,words ,2,
06.00.08.358819,1,words ,2,
06.00.08.564560,1,words ,2,
06.00.08.750173,1,words ,2,
06.00.08.938242,1,words ,2,
06.00.09.128102,1,words ,2,
06.00.09.324180,1,words,2,
06.00.09.513996,1,words,2,
06.00.09.689061,1,words,2,
06.00.09.872221,1,words,2,
06.00.10.042676,1,words,2,
06.00.10.199723,1,words,2,
06.00.10.528282,1,words,1,
06.00.10.714915,1,words,1,
06.00.10.904012,1,words,1,
06.00.11.091160,1,words,1,
06.00.11.251369,1,words,1,
06.00.11.439363,1,words,1,
06.00.11.627184,1,words,1,
06.00.11.808710,1,words,1,
06.00.11.979653,1,words,2,
06.00.12.188999,1,words,2,
06.00.12.376311,1,words,2,
06.00.12.544015,1,words,2,
06.00.12.917563,1,words,2,
06.00.13.091047,1,words,2,
06.00.13.276937,1,words,2,
06.00.13.501084,1,words,2,
06.00.13.689059,1,words,2,
06.00.13.872977,1,words,2,
06.00.14.064360,1,words,2,
06.00.14.250886,1,words,2,
06.00.14.439896,1,words,2,
06.00.14.590166,1,words,2,
06.00.14.752151,1,words,2,
06.00.18.313461,1,words,1,
06.00.18.512382,1,words,1,
06.00.18.690348,1,words,1,
06.00.18.840389,1,words,1,
06.00.19.012802,1,words,1,
06.00.19.248430,1,words,2,
06.00.19.419577,1,words,2,
06.00.19.606330,1,words,2,
06.00.19.746568,1,words,2,
06.00.19.904619,1,words,2,
06.00.20.064506,1,words,2,
06.00.20.229774,1,words,2,
06.00.20.377198,1,words,2,
06.00.20.542636,1,words,2,
06.00.20.715060,1,words,2,
06.00.20.902559,1,words,2,
06.00.21.074884,1,words,2,
06.00.21.247456,1,words,2,
06.00.21.465438,1,words,1,
06.00.21.655185,1,words,1,
06.00.21.877028,1,words,1,
06.00.22.063061,1,words,1,
06.00.22.251936,1,words,1,
06.00.22.439222,1,words,1,
06.00.22.654587,1,words,2,
06.00.22.840769,1,words,2,
06.00.23.028859,1,words,2,
06.00.23.189345,1,words,2,
06.00.23.401843,1,words,2,
06.00.23.589261,1,words,2,
06.00.23.793630,1,words,2,
06.00.23.979783,1,words,2,
06.00.24.189500,1,words,2,
06.00.24.355584,1,words,2,
06.00.24.527354,1,words,2,
06.00.24.714036,1,words,2,
06.00.24.903339,1,words,2,
06.00.25.089431,1,words,2,
06.00.25.314255,1,words,2,
06.00.25.543546,1,words,2,
06.00.25.746739,1,words,2,
06.00.25.950281,1,words,2,
06.00.26.121092,1,words,2,
06.00.26.386824,1,words,1,
06.00.26.590897,1,words,1,
06.00.26.777448,1,words,1,
06.00.26.983146,1,words,1,
06.00.27.217784,1,words,1,
06.00.27.419534,1,words,1,
06.00.27.636985,1,words,1,
06.00.27.825427,1,words,1,
06.00.28.044138,1,words,1,
06.00.28.252010,1,words,1,
06.00.28.481491,1,words,2,
06.00.28.689354,1,words,2,
06.00.28.877595,1,words,2,
06.00.29.064039,1,words,2,
06.00.29.250674,1,words,2,
06.00.29.440330,1,words,2,
06.00.29.638583,1,words,2,
06.00.29.840404,1,words,2,
06.00.30.011724,1,words,2,
06.00.30.279251,1,words,2,
06.00.30.500963,1,words,2,
06.00.30.730925,1,words,2,
06.00.30.965660,1,words,2,
06.00.31.168509,1,words,2,
06.00.31.355793,1,words,2,
06.00.31.559367,1,words,1,
06.00.31.809865,1,words,1,
06.00.32.028438,1,words,1,
06.00.32.215169,1,words,1,
06.00.32.451561,1,words,1,
06.00.32.669082,1,words,1,
06.00.32.875825,1,words,1,
06.00.33.075172,1,words,1,
06.00.33.231490,1,words,2,
06.00.33.450978,1,words,2,
06.00.33.637918,1,words,2,
06.00.33.825780,1,words,2,
06.00.33.996287,1,words,2,
06.00.34.199907,1,words,2,
06.00.34.402393,1,words,2,
06.00.34.606596,1,words,2,
06.00.34.815133,1,words,2,
06.00.35.029686,1,words,2,
06.00.35.251125,1,words,2,
06.00.35.449630,1,words,2,
06.00.35.653791,1,words,2,
06.00.35.855764,1,words,2,
06.00.36.075164,1,words,2,
06.00.36.262714,1,words,2,
06.00.36.480583,1,words,1,
06.00.36.714643,1,words,1,
06.00.36.951050,1,words,1,
06.00.37.168827,1,words,1,
06.00.37.386826,1,words,1,
06.00.37.591873,1,words,1,
06.00.37.746894,1,words,2,
06.00.37.966878,1,words,2,
06.00.38.154104,1,words,2,
06.00.38.342357,1,words,2,
06.00.38.577224,1,words,2,
06.00.38.794169,1,words,2,
06.00.39.000605,1,words,2,
06.00.39.190499,1,words,2,
06.00.39.420423,1,words,2,
06.00.39.622734,1,words,2,
06.00.39.841735,1,words,2,
06.00.40.065121,1,words,2,
06.00.40.262366,1,words,2,
06.00.40.466158,1,words,2,
06.00.40.690636,1,words,2,
06.00.40.858134,1,words,2,
06.00.41.043946,1,words,1,
06.00.41.294770,1,words,1,
06.00.41.542814,1,words,1,
06.00.41.763272,1,words,1,
06.00.42.003353,1,words,1,
06.00.42.246610,1,words,1,
06.00.42.465343,1,words,1,
06.00.42.699305,1,words,2,
06.00.42.902444,1,words,2,
06.00.43.128028,1,words,2,
06.00.43.293683,1,words,2,
06.00.43.464715,1,words,2,
06.00.43.669303,1,words,2,
06.00.43.857820,1,words,2,
06.00.44.043721,1,words,1,
06.00.44.264831,1,words,1,
06.00.44.438654,1,words,2,
06.00.44.607978,1,words,1,
06.00.44.753960,1,words,2,
06.00.45.294548,1,words,2,
06.00.45.451605,1,words,2,
06.00.45.592174,1,words,1,
06.00.50.683254,1,words,1,
06.00.50.903056,1,words,1,
06.00.51.107334,1,words,1,
06.00.51.340247,1,words,1,
06.00.51.528883,1,words,2,
06.00.51.715513,1,words,2,
06.00.51.903893,1,words,2,
06.00.53.747107,1,words,2,
06.00.53.939938,1,words,2,
06.00.54.107003,1,words,2,
06.00.54.357074,1,words,1,
06.00.54.590285,1,words,1,
06.00.54.763154,1,words,1,
06.00.54.966834,1,words,2,
06.00.55.170402,1,words,2,
06.00.55.294088,1,words,2,
06.00.55.464892,1,words,2,
06.00.55.656479,1,words,1,
06.00.55.856009,1,words,1,
06.00.56.003303,1,words,1,
06.00.56.188478,1,words,1,
06.00.56.387142,1,words,2,
06.00.56.589164,1,words,2,
06.00.56.731474,1,words,2,
06.00.56.887358,1,words,2,
06.00.57.029478,1,words,2,
06.00.57.199951,1,words,2,
06.00.57.419536,1,words,1,
06.00.57.668976,1,words,1,
06.00.57.857316,1,words,1,
06.00.58.043398,1,words,2,
06.00.58.231566,1,words,2,
06.00.58.387986,1,words,2,
06.00.58.530447,1,words,2,
06.00.58.688525,1,words,2,
06.00.59.003171,1,words,1,
06.00.59.215122,1,words,1,
06.00.59.417803,1,words,1,
06.00.59.593492,1,words,1,
06.00.59.824851,1,words,2,
06.01.00.031433,1,words,2,
06.01.00.201533,1,words,2,
06.01.00.387440,1,words,2,
06.01.00.593619,1,words,2,
06.01.00.998370,1,words,1,
06.01.01.231772,1,words,1,
06.01.01.450177,1,words,1,
06.01.01.653457,1,words,1,
06.01.01.887294,1,words,2,
06.01.02.107946,1,words,2,
06.01.02.280688,1,words,2,
06.01.02.527822,1,words,2,
06.01.02.762138,1,words,2,
06.01.02.979766,1,words,2,
06.01.03.188857,1,words,2,
06.01.03.403413,1,words,2,
06.01.03.607020,1,words,2,
06.01.04.045251,1,words,1,
06.01.04.294755,1,words,1,
06.01.04.573885,1,words,2,
06.01.04.762385,1,words,2,
06.01.04.932971,1,words,2,
06.01.05.123736,1,words,2,
06.01.05.278561,1,words,2,
06.01.05.624466,1,words,2,
06.01.05.872568,1,words,2,
06.01.06.215614,1,words,1,
06.01.06.434584,1,words,1,
06.01.06.669504,1,words,1,
06.01.06.997280,1,words,1,
06.01.07.371329,1,words,2,
06.01.07.576468,1,words,2,
06.01.07.762460,1,words,2,
06.01.07.917972,1,words,2,
06.01.08.138366,1,words,2,
06.01.08.342108,1,words,2,
06.01.08.526598,1,words,2,
06.01.08.731752,1,words,2,
06.01.08.918081,1,words,2,
06.01.09.127414,1,words,2,
06.01.09.314887,1,words,2,
06.01.09.530931,1,words,1,
06.01.09.753732,1,words,1,
06.01.09.981033,1,words,1,
06.01.10.201166,1,words,1,
06.01.10.482485,1,words,1,
06.01.10.689255,1,words,1,
06.01.10.904124,1,words,1,
06.01.11.074500,1,words,1,
06.01.11.279235,1,words,1,
06.01.11.469180,1,words,1,
06.01.11.607673,1,words,2,
06.01.11.824816,1,words,2,
06.01.12.074831,1,words,2,
06.01.12.262929,1,words,2,
06.01.12.607099,1,words,2,
06.01.12.878362,1,words,2,
06.01.13.075161,1,words,2,
06.01.13.279317,1,words,2,
06.01.13.482427,1,words,2,
06.01.13.688915,1,words,2,
06.01.13.903468,1,words,2,
06.01.14.107061,1,words,2,
06.01.14.326003,1,words,2,
06.01.14.528380,1,words,2,
06.01.14.731636,1,words,2,
06.01.14.918560,1,words,2,
06.01.15.073674,1,words,2,
06.01.15.248131,1,words,2,
06.01.15.435041,1,words,2,
06.01.15.670714,1,words,1,
06.01.15.939945,1,words,1,
06.01.16.168408,1,words,1,
06.01.16.419314,1,words,1,
06.01.16.688328,1,words,1,
